I greatly appreciate your Bible study segments !!!!

please keep reading longer Bible passages!  they're great!

share your faith  its refreshing to see love the hair !! 

love the scripture part of your vids! go mel!

keep sharing the truth of the living God  sister!

God has you touching lives keep up the great work
