Imay just have to buy this game. if wokies are mad  do I need to know more  I didn t know you were Christian  kinda new  very cool! me too!!

thank you.  just thank you for the video.

just stumbled across your channel. I will always subscribe and support base content creators  thank you for your honesty. you have my support!
